Symbol,Company Name,Type,Role,Sector,Enabled
FRQ,Singapore Paincare Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
G07,Great Eastern Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
G0I,Nam Lee Pressed Metal Industries Limited,Stock,Ignore,Industrials,TRUE
G13,Genting Singapore Limited,Stock,Ignore,Industrials,TRUE
G20,GP Industries Limited,Stock,Ignore,Industrials,TRUE
G3B,Nikko AM STI ETF,ETF,Macro_Signal,Financials,TRUE
G50,Grand Banks Yachts Limited,Stock,Dividend_Secondary,Financials,TRUE
G92,China Aviation Oil (Singapore) Corporation Ltd,Stock,Ignore,Energy,TRUE
GEH,Goodwill Entertainment Holding Limited,Stock,Ignore,Communication Services,TRUE
GRQ,UpHealth Group Limited,Stock,Ignore,Health Care,TRUE
GU5,China Kunda Technology Holdings Limited,Stock,Dividend_Secondary,Information Technology,TRUE
H02,Haw Par Corporation Limited,Stock,Ignore,Industrials,TRUE
H07,Stamford Land Corporation Ltd,Stock,Ignore,Industrials,TRUE
H12,Hotel Royal Limited,Stock,Ignore,Industrials,TRUE
H13,Ho Bee Land Limited,Stock,Ignore,Industrials,TRUE
H15,Hotel Properties Limited,Stock,Ignore,Industrials,TRUE
H18,Hotel Grand Central Limited,Stock,Ignore,Industrials,TRUE
H20,Hoe Leong Corporation Ltd.,Stock,Ignore,Industrials,TRUE
H22,Hong Leong Asia Ltd.,Stock,Ignore,Industrials,TRUE
H30,Hong Fok Corporation Limited,Stock,Ignore,Industrials,TRUE
H78,Hongkong Land Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
HBBD,Alibaba Group Holding Limited,Stock,Ignore,Industrials,TRUE
HBND,Bank of China Limited,Stock,Dividend_Secondary,Financials,TRUE
HBUD,"Baidu, Inc.",Stock,Ignore,Industrials,TRUE
HCCD,"Contemporary Amperex Technology Co., Limited",Stock,Ignore,Information Technology,TRUE
HCMD,China Mobile Limited,Stock,Ignore,Industrials,TRUE
HHZD,Horizon Robotics,Stock,Ignore,Information Technology,TRUE
HJDD,"JD.com, Inc.",Stock,Ignore,Industrials,TRUE
HLS,Helens International Holdings Company Limited,Stock,Dividend_Secondary,Financials,TRUE
HMN,CapitaLand Ascott Trust,Trust,Dividend_Secondary,Real Estate,TRUE
HMTD,Meituan,Stock,Ignore,Industrials,TRUE
HPAD,"Ping An Insurance (Group) Company of China, Ltd.",Stock,Ignore,Financials,TRUE
